"Refs","Value","Footprint","Qty","DNP"
"C1","1000uF","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","1",""
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D3","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D5","LED","LED_THT:LED_D5.0mm","1",""
"J1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"J2","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"R1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","2.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
